,Pulse(bpm),,,,,
5/30/2019 11:18,73,,,,,
5/30/2019 4:26,71,,,,,
5/29/2019 10:23,72,,,,,
5/29/2019 10:22,69,,,,,
5/28/2019 21:48,75,,,,,
5/28/2019 12:07,62,,,,,
5/27/2019 9:22,58,,,,,
5/27/2019 1:48,66,,,,,
5/26/2019 12:07,71,,,,,
5/26/2019 10:53,68,,,,,
5/26/2019 3:56,70,,,,,
5/26/2019 3:53,69,,,,,
5/26/2019 3:52,70,,,,,
5/26/2019 3:50,71,,,,,
5/25/2019 11:37,77,,,,,
5/24/2019 22:55,83,,,,,
5/24/2019 11:24,73,,,,,
5/24/2019 11:07,72,,,,,
5/24/2019 3:47,76,,,,,
5/24/2019 1:31,80,,,,,
5/23/2019 21:39,83,,,,,
5/23/2019 8:22,69,,,,,
5/22/2019 12:01,78,,,,,
5/22/2019 2:59,62,,,,,
5/22/2019 2:38,76,,,,,
5/22/2019 2:36,78,,,,,
5/20/2019 11:24,63,,,,,
5/20/2019 2:34,73,,,,,
5/19/2019 10:38,62,,,,,
5/19/2019 10:36,65,,,,,
5/19/2019 0:49,67,,,,,
5/19/2019 0:47,76,,,,,
5/18/2019 8:45,65,,,,,
5/18/2019 0:47,70,,,,,
5/18/2019 0:31,67,,,,,
5/16/2019 9:50,72,,,,,
5/15/2019 12:16,73,,,,,
5/15/2019 11:52,75,,,,,
5/15/2019 4:03,74,,,,,
5/15/2019 3:25,72,,,,,
5/14/2019 10:43,71,,,,,
5/14/2019 1:48,72,,,,,
5/14/2019 1:45,73,,,,,
5/13/2019 11:10,71,,,,,
5/13/2019 11:08,71,,,,,
5/13/2019 1:35,67,,,,,
5/13/2019 1:31,71,,,,,
5/12/2019 10:26,68,,,,,
5/12/2019 9:52,60,,,,,
5/12/2019 3:10,61,,,,,
5/12/2019 2:50,65,,,,,
5/11/2019 9:31,61,,,,,
5/10/2019 22:56,72,,,,,
5/10/2019 8:57,58,,,,,
5/8/2019 10:04,69,,,,,
5/8/2019 2:58,71,,,,,
5/8/2019 0:46,69,,,,,
5/7/2019 7:22,70,,,,,
5/6/2019 22:52,68,,,,,
5/6/2019 8:08,62,,,,,
5/6/2019 1:27,57,,,,,
5/5/2019 9:20,64,,,,,
5/4/2019 20:16,64,,,,,
5/4/2019 8:27,58,,,,,
5/4/2019 0:48,57,,,,,
5/3/2019 7:16,60,,,,,
5/3/2019 7:11,60,,,,,
5/3/2019 0:31,63,,,,,
5/3/2019 0:28,58,,,,,
5/2/2019 21:02,65,,,,,
5/1/2019 23:18,60,,,,,
5/1/2019 22:27,64,,,,,
5/1/2019 7:06,67,,,,,
5/1/2019 0:23,62,,,,,
5/1/2019 0:20,69,,,,,
4/30/2019 8:05,61,,,,,
4/28/2019 22:44,67,,,,,
4/28/2019 21:35,69,,,,,
4/28/2019 2:28,66,,,,,
4/27/2019 23:32,59,,,,,
4/27/2019 23:24,62,,,,,
4/27/2019 11:41,66,,,,,
4/27/2019 11:05,60,,,,,
4/26/2019 7:21,62,,,,,
4/25/2019 23:56,67,,,,,
4/25/2019 23:51,71,,,,,
4/25/2019 9:26,80,,,,,
4/24/2019 10:16,66,,,,,
4/22/2019 10:21,70,,,,,
4/22/2019 10:08,68,,,,,
4/21/2019 10:06,73,,,,,
4/20/2019 23:32,65,,,,,
4/20/2019 13:43,66,,,,,
4/20/2019 13:37,68,,,,,
4/20/2019 13:35,59,,,,,
4/17/2019 21:52,76,,,,,
4/17/2019 9:50,80,,,,,
4/16/2019 9:07,80,,,,,
4/16/2019 8:58,79,,,,,
4/15/2019 23:43,70,,,,,
4/15/2019 23:38,67,,,,,
